per_typ,marijuana,alcohol,per_type_label,age_group,cases
6,1,0,Bicyclist,55,71
6,1,1,Bicyclist,55,18
7,0,0,Unicycle/Tricycle,55,11
7,1,0,Unicycle/Tricycle,55,1
8,0,0,Construction Worker,55,241
8,0,1,Construction Worker,55,39
8,1,0,Construction Worker,55,5
8,1,1,Construction Worker,55,3
1,0,0,Driver,60,63332
1,0,1,Driver,60,5124
1,1,0,Driver,60,1068
1,1,1,Driver,60,284
2,0,0,Passenger,60,17259
2,0,1,Passenger,60,117
2,1,0,Passenger,60,59
2,1,1,Passenger,60,3
3,0,0,Stationary Vehicle Occupant,60,364
3,0,1,Stationary Vehicle Occupant,60,2
4,0,0,Non-motorized Vehicle Occupant,60,40
5,0,0,Pedestrian,60,8321
5,0,1,Pedestrian,60,1411
5,1,0,Pedestrian,60,219
5,1,1,Pedestrian,60,62
6,0,0,Bicyclist,60,1422
6,0,1,Bicyclist,60,169
6,1,0,Bicyclist,60,45
6,1,1,Bicyclist,60,9
7,0,0,Unicycle/Tricycle,60,10
7,0,1,Unicycle/Tricycle,60,1
8,0,0,Construction Worker,60,214
8,0,1,Construction Worker,60,28
8,1,0,Construction Worker,60,9
8,1,1,Construction Worker,60,1
1,0,0,Driver,65,47619
1,0,1,Driver,65,2969
1,1,0,Driver,65,553
1,1,1,Driver,65,118
2,0,0,Passenger,65,14974
2,0,1,Passenger,65,73
2,1,0,Passenger,65,39
2,1,1,Passenger,65,2
3,0,0,Stationary Vehicle Occupant,65,207
4,0,0,Non-motorized Vehicle Occupant,65,29
5,0,0,Pedestrian,65,6875
5,0,1,Pedestrian,65,760
5,1,0,Pedestrian,65,113
5,1,1,Pedestrian,65,28
6,0,0,Bicyclist,65,1060
6,0,1,Bicyclist,65,75
6,1,0,Bicyclist,65,19
6,1,1,Bicyclist,65,3
7,0,0,Unicycle/Tricycle,65,6
8,0,0,Construction Worker,65,233
8,0,1,Construction Worker,65,21
8,1,0,Construction Worker,65,3
1,0,0,Driver,70,37779
1,0,1,Driver,70,1648
1,1,0,Driver,70,221
